NICCode,Description
52232,Firefighting and fire-prevention services at airports
52231,"Activities related to air transport of passengers, animals or freight"
52230,Service activities incidental to air transportation
52220,Service activities incidental to water transportation
52219,Other land transport services n.e.c
52213,Switching and shunting
52212,"Support service at railway stations, bus stations, bridges etc."
52211,Car parking including motorcycle and bicycle parking
52210,Service activities incidental to land transportation
52109,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles"
52102,Warehousing non-refrigerated
52101,Warehousing of refrigerated (cold storage)
52100,Warehousing and storage
51202,Launching of satellites and space vehicles and space transport
51201,Freight air transport services
51200,Freight air transport
51109,Other passenger air-transport n.e.c
51102,Helicopter services
51101,Passenger airways
51100,Passenger air transport
50220,Inland freight water transport
50219,Other inland water transport n.e.c.
50213,Long distance river water transport
50212,"River cruise, water taxi, boat services"
50211,River ferry service
50210,Inland passenger water transport
50120,Sea and coastal freight water transport
50119,Other sea and coastal water transport n.e.c.
50113,Sea and coastal long distance water transport
50112,"Sea and coastal water cruise, water taxis and other sight seeing boats"
50111,Sea and coastal ferry service
50110,Sea and coastal passenger water transport
49300,Transport via pipeline
49232,Non-motorised road freight transport
49231,Motorised road freight transport
49230,Freight transport by road
49229,Other non urban passenger land transport n.e.c.
49226,Passenger transport by man- or animal-drawn vehicles
49225,Operation of school buses and buses for transport of employees
49224,Taxi operation
49223,Rental of private cars with driver
49222,"Charters, excursions and other occasional coach services"
49221,Long-distance bus services
49220,Other passenger land transport
49219,Other urban or suburban passenger transport n.e.c.
49213,Urban or suburban underground or elevated rillways
49212,Urban or suburban tramways
49211,Urban or suburban passenger bus transport (excluding chartered bus)
49210,Urban or suburban passenger land transport
49120,Freight rail transport
49110,Passenger rail transport
47990,"Other retail sale not in stores, stalls or markets"
47912,Retail sale via e-commerce
47911,Retail sale via mail order houses
47910,Retail sale via mail order houses or via Internet
47890,Retail sale via stalls and markets of other goods
47820,"Retail sale via stalls and markets of textiles, clothing and footwear"
47810,"Retail sale via stalls and markets of food, beverages and tobacco products"
47740,Retail sale of second-hand goods
47739,Other retail sale of new goods in specialized stores n.e.c (weapons and
47738,Activities of commercial art galleries
47737,"Retail sale of seeds, fertilisers, pesticides, machinery equipments and hand tools"
47736,"Retail sale of household fuel oil, bottled gas, coal and fuel wood"
47735,"Retail sale of souvenirs, craftwork and religious articles, stamps and coins"
47734,"Retail sale of flowers, plants, pet animals and pet food"
47733,Retail sale of jewellery and immitation jewellery
47732,Retail sale of watches and clocks
47731,"Retail sale of photographic, optical and precision equipment"
47730,Other retail sale of new goods in specialized stores
47722,Retail sale of perfumery and cosmetic articles
47721,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles"
47720,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
47714,Retail sale of leather goods and travel accessories of leather and leather substitutes
47713,Retail sale of footwear
47712,Retail sale of articles of fur and artificial fur
47711,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc."
47710,"Retail sale of clothing, footwear and leather articles in specialized stores"
47640,Retail sale of games and toys in specialized stores
47630,Retail sale of sporting equipment in specialized stores
47620,Retail sale of music and video recordings in specialized stores
47613,"Retail sale of stationery office supplies such as pens, pencils, paper etc."
47612,Retail sale of newspapers and magazines
47611,Retail sale of books of all kinds
47610,"Retail sale of books, newspapers and stationary in specialized stores"
47599,"Retail sale of other household appliances n.e.c. ( security systems, such"
47595,Retail sale of musical instruments
47594,"Retail sale of refrigerators, washing machines and other electrical/electronic household goods"
47593,"Retail sale of gas stoves, cooking/kitchen appliances"
47592,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery"
47591,Retail sale of household furniture
47590,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
47532,Retail sale of wallpaper and floor coverings
47531,"Retail sale of carpets, rugs, curtains and net curtains"
47530,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores"
47523,Retail sale of glass
47522,"Retail sale of hardware including paints, varnishes and lacquers and do-it-yourself materials and equipments"
47521,"Retail sale of building material such as bricks, wood, sanitary equipment"
47520,"Retail sale of hardware, paints and glass in specialized stores"
47510,Retail sale of textiles in specialized stores
47420,Retail sale of audio and video equipment in specialized stores
47414,Retail sale of telecommunication equipment
47413,Retail sale of non-customized software
47412,Retail sale of video games
47411,Retail sale of computers and computer peripherals
47410,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
47300,Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.
47230,Retail sale of tobacco products in specialized stores
47222,Retail  sale  of  non-alcoholic  beverages  including  icecream  not  for consumption on the premises
47221,Retail sale of alcoholic beverages not consumed on the spot
47220,Retail sale of beverages in specialized stores
47219,Retail sale of other food products n.e.c.
47215,Retail sale of sugar confectionery and sweetmeat
47214,"Retail sale of bakery products, dairy products and eggs"
47213,"Retail sale of meat, meat products, poultry products, fish, other seafood and"
47212,Retail sale of fresh or preserved fruit and vegetables
47211,"Retail sale of cereals and pulses, tea, coffee, spices and flour"
47210,Retail sale of food in specialized stores
47190,Other retail sale in non-specialized stores
47110,"Retail sale in non-specialized stores with food, beverages or tobacco"
46909,Other non-specialised wholesale trade n.e.c.
46901,Wholesale trade via e-commerce excluding activities of commission agents
46900,Non-specialized wholesale trade
46699,Wholesale of metal and non-metal waste and scrap n.e.c.
46697,Wholesale of precious stones
46696,Wholesale of paper in bulk
46695,Wholesale of textile fibres etc.
46694,Wholesale of rubber
46693,Wholesale of plastic materials in primary forms
46692,Wholesale of fertilizers and agrochemical products
46691,"Wholesale of industrial chemicals,"
46690,Wholesale of waste and scrap and other products n.e.c.
46639,Wholesale of other construction equipment n.e.c.
46634,"Wholesale of paints, varnishes, and lacquers"
46633,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools"
46632,"Wholesale of construction materials (sand, gravel etc.)"
46631,Wholesale of wood in the rough and products of primary processing of wood
46630,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
46620,Wholesale of metals and metal ores
46610,"Wholesale of solid, liquid and gaseous fuels and related products"
46599,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines"
46596,"Wholesale of scientific, medical and surgical machinery and equipment"
46595,"Wholesale of machinery and equipment for the textile, wood and metal industries etc."
46594,Wholesale of construction and civil engineering machinery and equipment
46593,"Wholesale of electrical machinery, equipment and supplies, n.e.c."
46592,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles"
46591,"Wholesale of office machinery and equipment, except computers and computer peripheral equipment"
46590,Wholesale of other machinery and equipment
46539,Wholesale of other agriculture machinery n.e.c.
46533,"Wholesale of milking machines, poultry-keeping machines, bee-keeping machines"
46532,"Wholesale of ploughs, manure spreaders, seeders, harvesters, threshers"
46531,Wholesale of tractors used in agriculture and forestry
46530,"Wholesale of agricultural machinery, equipment and supplies"
46529,Wholesale of other electronic equipments and parts thereof
46524,"Wholesale of telephone, mobile phone and communications equipment and parts"
46523,"Wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs) and parts"
46522,"Wholesale of radio, television and other consumer electronics including CD/DVD players and recorders"
46521,"Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and printed circuits"
46520,Wholesale of electronic and telecommunications equipment and parts
46512,Wholesale of software
46511,Wholesale of computers and computer peripheral equipment
46510,"Wholesale of computers, computer peripheral equipment and software"
46499,"Wholesale  of  other  households  goods,  n.e.c."
46498,Wholesale of precious metals and jewellery
46497,Wholesale of pharmaceutical and medical goods
46496,"Wholesale of paper and other stationery items; books, magazines and newspapers"
46495,"Wholesale of recorded audio or video tapes, CDs and DVDs"
46494,"Wholesale of watches, clocks and optical goods"
46493,Wholesale of furniture and fixtures
46492,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware"
46491,"Wholesale of toiletry, perfumery and cosmetics"
46490,Wholesale of other household goods
46419,Wholesale of other clothing items n.e.c.
46413,Wholesale of footwear
46412,Wholesale of umbrella and clothing accessories
46411,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
46410,"Wholesale of textiles, clothing and footwear"
46309,Wholesale of other basic/manufactured food stuffs n.e.c.
46308,Wholesale of intoxicants like wines and liquors
46307,Wholesale of manufactured tobacco & tobacco products
46306,"Wholesale of tea, coffee & cocoa"
46305,"Wholesale of edible oils, fats, sugar and processed/manufactured spices"
46304,"Wholesale of confectionery, bakery products and beverages other than intoxicants"
46303,"Wholesale of meat, fish & eggs"
46302,Wholesale of raw milk & dairy products
46301,Wholesale of fruits & vegetables
46300,"Wholesale of food, beverages and tobacco"
46209,Whole sale of other agriculture raw materials n.e.c.
46208,Wholesale of sugarcane
46207,Wholesale of oilseed oleaginous fruits
46206,"Wholesale of hides, skins and leather"
46205,Wholesale of flowers and plants
46204,"Wholesale of straw, fodder & other animal/poultry feed"
46203,Wholesale of live animals and poultry
46202,"Wholesale of un-manufactured tobacco, paan (betel leaf), opium, ganja,"
46201,Wholesale of cereals & pulses
46200,Wholesale of agricultural raw materials and live animals
46109,Activities of other commission agents n.e.c. (including commission agents working in emerging areas for wholesale trade
46103,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
46102,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals"
46101,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles"
46100,Wholesale on a fee or contract basis
45403,"Maintenance and repair of motor cycles, mopeds, scooters and three wheelers"
45402,"Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers"
45401,"Wholesale or retail sale of new motorcycles, mopeds, scooters and three wheelers"
45400,"Sale, maintenance and repair of motorcycles and related parts and Accessories"
45300,Sale of motor vehicle parts and accessories
45200,Maintenance and repair of motor vehicles
45102,Wholesale and retail sale of used motor vehicles
45101,"Wholesale and retail sale of new vehicles ambulances, minibuses, jeeps, trucks, trailers and semi-trailers)"
45100,Sale of motor vehicles
43900,Other specialized construction activities
43309,Other building completion and finishing
43303,"Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures"
43302,"Interior completion such as ceilings, wooden wall coverings, movable partitions etc. ; Laying of parquet and other wood floor coverings, carpets and linoleum, wallpaper; tiling with ceramic, concrete or cut stone ceramic"
43301,"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials"
43300,Building completion and finishing
43299,Other construction projects n.e.c.
43292,"Installation of thermal, sound or vibration insulation system in buildings"
43291,"Installation of elevators, escalators"
43290,Other construction installation
43229,"Other plumbing, heat and air conditioning activities n.e.c."
43222,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar energy collectors etc."
43221,"Installation of plumbing for water, gas and sanitation equipments"
43220,"Plumbing, heat and air-conditioning installation"
43219,Other electrical electrical installation n.e.c.
43214,Installation of fire alarm system and burgler alarm system
43213,Installation of street lighting and electrical signals
43212,"Installation of telecommunications wiring, computer network and cable television wiring, including fibre optic, satellite dishes"
43211,Installation of electrical wiring and fittings
43210,Electrical installation
43129,Other site preparation activities n.e.c.
43123,"Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc."
43122,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes"
43121,Site  preparation  for  mining  including  overburden  removal  and  other development and preparation of mineral properties and sites except oil and gas sites
43120,Site preparation
43110,Demolition
42909,Other civil engineering projects n.e.c.
42904,Construction of outdoor sports facilities
42903,Construction of dams etc.
42902,"Construction  of  waterways,  harbours  and  river  works,  dredging  of waterways"
42901,Construction and maintenance of industrial facilities such as refineries chemical plants etc.
42900,Construction of other civil engineering projects
42209,Construction of utility projects n.e.c.
42206,Water well drilling
42205,Construction and repair of sewer systems including sewage disposal plants and pumping stations
42204,"Construction and maintenance of water main and line connection, water reservoirs including irrigation system (canal)"
42203,Construction of long distance pipelines or urban pipelines
42202,"Construction/erection and maintenance of power, telecommunication and transmission lines"
42201,Construction and maintenance of power plants
42200,Construction of utility projects
42103,Construction and maintenance of airfield runways
42102,Construction and maintenance of railways and rail-bridges
42101,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and subways"
42100,Construction roads and railways
41003,Assembly and erection of prefabricated constructions on the site
41002,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis"
41001,Construction of buildings carried out on own-account basis or on a fee or  contract basis
41000,Construction of buildings
39000,Remediation activities and other waste management services
38300,Materials recovery
38222,"Treatment, disposal and storage of radioactive nuclear waste"
38221,"Treatment and disposal of toxic live or dead animals and other, contaminated waste, disposal of used goods; incineration of hazardous waste"
38220,Treatment and disposal of hazardous waste
38210,Treatment and disposal of non-hazardous waste
38120,Collection of hazardous waste
38110,Collection of non-hazardous waste
37003,"Treatment of waste water or sewer by means of physical, chemical or biological processes"
37002,"Collecting and transporting of human or industrial waste water or rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles etc.)"
37001,The operation and maintenance of sewer systems
37000,Sewerage
36000,"Water collection, treatment and supply"
35303,"Production of ice, including ice for food and non-food purposes"
35302,Production and distribution of cooled air and chilled water for cooling purposes
35301,"Production, collection and distribution of steam and hot water for heating, power and other purposes"
35300,Steam and air conditioning supply
35202,Disrtibution and sale of gaseous fuels through mains
35201,Manufacture of gas
35200,Manufacture of gas; distribution of gaseous fuels through mains
35109,"Collection and distribution of electric energy to households, industrial, commercial and other users n.e.c."
35107,Transmission of electric energy
35106,Electric power generation using other non conventional sources
35105,Electric power generation using solar energy
35104,Electric power generation and transmission by nuclear power plants
35103,"Electric power generation by non-coal based thermal (e.g. diesel, gas )"
35102,Electric power generation by coal based thermal power plants
35101,Electric power generation by hydroelectric power plants
35100,"Electric power generation, transmission and distribution"
33200,Installation of industrial machinery and equipment
33190,Repair of other equipment
33150,"Repair of transport equipment, except motor vehicles"
33140,Repair of electrical equipment
33133, Repair and maintenance of optical instruments and equipment of class 2670
33132,"Repair and maintenance of irradiation, electromedical and electro theraputic equipmemts of class 2660"
33131,"Repair and maintenance of measuring, testing, navigating and control equipment of group 265"
33130,Repair of electronic and optical equipment
33129,Repair and maintenance of other special purpose machinery of division
33127,"Repair and maintenance of textile apparel, leather production machinery and papermaking machinery"
33126,"Repair  and  maintenance  of  food,  beverage,  and  tobacco  processing machinery"
33125,"Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery"
33124,Repair and maintenance of agricultural machinery and forestry and logging machinery including agricultural tractors
33123,"Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools and other machine tools"
33122,"Repair and maintenance of pumps and related equipment, fluid power equipment, valves"
33121,"Repair and maintenance of engines and turbines excluding aircraft, vehicle and cycle engines"
33120,Repair of machinery
33119,Repair and maintenance of other fabricated metal products
33114,"Repair and maintenance of steam or other vapour generators and auxiliary plant for use with steam generators such as condensers, economizers, superheaters, steam collectors and accumulators"
33113,"Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc"
33112,Repair and maintenance of pipes and pipelines
33111,Repair and maintenance of structural products
33110,Repair of fabricated metal products
32909,Manufacture of other articles n.e.c.
32904,"Manufacture of articles of personal use such as cigarette lighters, smoking pipes, combs, hair slides, scent sprays, vacuum flasks and other vacuum vessels for personal or household use, wigs, false beards, eyebrows etc."
32903,"Manufacture of umbrellas, sun-umbrellas, walking sticks, seat-stick"
32902,Manufacture of protective safety equipment (fire-resistant and protective
32901,"Manufacture of stationary articles such as pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand printing sets, prepared typewriter ribbons and inked pads, globes etc."
32900,Other manufacturing n.e.c.
32509,Manufacture of other medical and dental instruments n.e.c.
32507,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles etc."
32506,Manufacture of orthopedic and prosthetic devices
32505,Manufacture of measuring instruments suc as thermometers etc.
32504,"Manufacture  of  bone  plates  and  screws,  syringes,  needles,  catheters,"
32503,"Manufacture of medical, surgical, dental or veterinary furniture such as operating tables, examination tables, dentists’ chairs etc."
32502,"Manufacture  of  laboratory  apparatus machinery,  laboratory  sterilizers,  laboratory  type  distilling  apparatus,"
32501,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental instruments, artificial teeth, bridges, etc., made in dental labs"
32500,Manufacture of medical and dental instruments and supplies
32409,Manufacture of other games and toys n.e.c.
32405,Manufacture of electronic games
32404,Manufacture of playing cards
32403,"Manufacture of pin-tables, coin-operated games, billiards, special tables for casino games, etc."
32402,"Manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles"
32401,Manufacture of dolls and toy animals
32400,Manufacture of games and toys
32300,Manufacture of sports goods
32209,Manufacture of other musical instruments n.e.c.
32204,"Manufacture of musical instruments, the sound of which is produced electronically"
32203,Manufacture of percussion musical instruments
32202,"Manufacture of wind instruments, accordions, harmonium and similar instruments and mouth organs"
32201,Manufacture of stringed instruments (non-electronic)
32200,Manufacture of musical instruments
32120,Manufacture of imitation jewellery and related articles
32119,"Manufacture of other articles of gold, silver and other precious and semi precious metal and stone"
32114,"Manufacture of coins, including coins for use as legal tender, whether or not of precious metal"
32113,Production of worked pearls
32112,Working of diamonds and other precious and semi-precious stones including the working of industrial quality stones and synthetic or reconstructed precious or semi-precious stones
32111,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials"
32110,Manufacture of jewellery and related articles
31009,Manufacture of other furniture n.e.c.
31005,Manufacture of mattresses and pillows
31004,Manufacture of furniture primarily of plastic
31003,Manufacture of furniture primarily of metal
31002,Manufacture of furniture made of cane & reed
31001,Manufacture of furniture made of wood
31000,Manufacture of furniture
30999,"Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts"
30991,Manufacture of vehicles drawn by animals
30990,Manufacture of other transport equipment n.e.c.
30923,"Manufacture of parts and accessories for bicycles, cycle -rickshaws and invalid carriages"
30922,Manufacture of invalid carriages with or without motor
30921,"Manufacture of non-motorized bicycles and other cycles, including cycle- rickshaws, (delivery) tricycles, tandems, children’s bicycles and tricycles, baby carriages"
30920,Manufacture of bicycles and invalid carriages
30913,Manufacture of parts and accessories of three wheelers and motorcycles including side cars
30912,Manufacture of three-wheelers and their engine
30911,"Manufacture of motorcycles, scooters, mopeds etc. and their engine"
30910,Manufacture of motorcycles
30400,Manufacture of weapons and ammunition
30305,Manufacture of parts and accessories of the aircraft and spacecraft of this
30304,"Manufacture of spacecraft and launch vehicles, satellites, planetary probes, orbital stations, shuttles, intercontinental ballistic"
30303,"Manufacture of gliders, hang-gliders, dirigibles and hot air balloons and other non-powered aircraft"
30302,Manufacture of helicopters
30301,Manufacture of airplanes
30300,Manufacture of air and spacecraft and related machinery
30206,Manufacture of mining locomotives and mining rail cars
30205,"Manufacture of mechanical and electro-mechanical signalling safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
30204,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks and coupling devices, buffers and buffer parts; shock absorbers; wagon and locomotive frames; bodies; corridor connections etc.)"
30203,"Manufacture  of  railway  or  tramway  rolling  stock,  not  self-propelled"
30202,"Manufacture of self-propelled railway or tramway coaches, vans and trucks, maintenance or service vehicles"
30201,"Manufacture of electric, diesel, steam and other rail locomotives"
30200,Manufacture of railway locomotives and rolling stock
30120,Building of pleasure and sporting boats
30115,"Construction of floating structures ( floating docks, pontoons, coffer-dams, floating landing stages, buoys, floating tanks, barges, lighters, floating cranes, non-recreational inflatable rafts etc.)"
30114,Construction of floating or submersible drilling platforms
30113,Building of fishing boats and fish-processing factory vessels
30112,Building of warships and scientific investigation ships etc.
30111,"Building of commercial vessels: passenger vessels, ferry-boats, cargo ships, tankers, tugs, hovercraft (except recreation-type hovercraft) etc."
30110,Building of ships and floating structures
29304,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels, voltage regulators, etc."
29303,Manufacture of car seats
29302,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors, bumpers"
29301,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc."
29300,Manufacture of parts and accessories for motor vehicles
29209,Manufacture of other attachments to motor vehicles n.e.c.
29202,Manufacture  of  trailers  and  semi-trailers  for  transport  of  goods  or passengers
29201,"Manufacture of bodies, including cabs for motor vehicles"
29200,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29109,Manufacture of motor vehicles n.e.c.
29104,Manufacture of motor vehicle engines
29103,Manufacture of chassis fitted with engines for the motor vehicles included
29102,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc."
29101,Manufacture of passenger cars
29100,Manufacture of motor vehicles
28299,Manufacture of other special-purpose machinery n.e.c.
28293,Manufacture of printing and bookbinding machines and machines for activities supporting printing on a variety of materials (other than textiles)
28292,Manufacture of machinery for working soft rubber or plastics or for the manufacture of products of these materials
28291,"Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board"
28290,Manufacture of other special-purpose machinery
28269,"Manufacture of other machinery for textiles, apparel and leather production"
28266,"Manufacture of machinery for preparing, tanning or working hides, skins or leather, machinery for making or repairing footwear or other articles of hides, skins, leather or fur skins"
28265,"Manufacture of sewing machines, sewing machine heads and sewing machine needles (whether or not for household use)"
28264,"Manufacture of ironing machines, commercial washing and drying machines, dry-cleaning machines and other laundry machinery"
28263,"Manufacture  of  machinery  for  washing,  bleaching,  dyeing,  dressing, finishing coating or impregnating textile fabrics, machines for reeling, unreeling, folding, cutting or pinking textile fabrics, and similar machinery for fabric processing"
28262,Manufacture of textile printing machinery
28261,"Manufacture  of  machinery  for  preparation  of  textile  fibers,  spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines"
28260,"Manufacture of machinery for textile, apparel and leather production"
28259,Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines)
28256,"Manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or for pipe or chewing tobacco or snuff"
28255,Manufacture of machinery for the extraction or preparation of animal or vegetable fats or oils
28254,"Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc."
28253,"Manufacture of presses, crushers etc. used to make wine, cider, fruit juices"
28252,Manufacture of machinery for the grain milling industry
28251,Manufacture of machinery for the dairy industry
28250,"Manufacture of machinery for food, beverage and tobacco processing"
28249,"Manufacture of other machinery for mining, quarrying and construction"
28246,Manufacture of parts and accessories for machinery/equipment used by construction and mining industries
28245,"Manufacture of concrete and mortar mixers, piledrivers and pile-extractors, mortar spreaders, bitumen spreaders, concrete surfacing machinery"
28244,Manufacture of tracklaying tractors and tractors used in construction or mining
28243,"Manufacture of earth-moving machinery (bulldozers, angle-dozers, graders, scrapers, levellers, mechanical shovels, shovel loaders, off-road dumping"
28242,"Manufacture of boring, cutting, sinking and tunnelling machinery (whether or not for underground use)"
28241,Manufacture of continuous-action elevators and conveyors for underground use
28240,"Manufacture of machinery for mining, quarrying and construction"
28230,Manufacture of machinery for metallurgy
28229,Manufacture of metal-forming machinery and machine tools n.e.c
28223,Manufacture of parts and accessories for the machine tools listed above
28222,Manufacture of electroplating machinery
28221,"Manufacture  of  machine  tools  for  turning,  drilling,  milling,  shaping, planning, boring, grinding etc."
28220,Manufacture of metal-forming machinery and machine tools
28219,Manufacture of other agricultural and forestry machinery n.e.c.
28213,Manufacture of spraying machinery for agricultural use
28212,"Manufacture of ploughs, manure spreaders, seeders, harrows and similar agricultural machinery for soil preparation, planting or fertilizing, harvesting or threshing machinery"
28211,Manufacture of tractors used in agriculture and forestry
28210,Manufacture of agricultural and forestry machinery
28199,Manufacture of other general purpose machinery n.e.c. ( fans intended
28195,Manufacture of filtering and purifying machinery or apparatus for liquids and gases
28194,Manufacture  of  weighing  machinery balances)
28193,"Manufacture of fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc."
28192,"Manufacture of air-conditioning machines, including motor vehicles air-conditioners"
28191,"Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major components"
28190,Manufacture of other general-purpose machinery
28180,Manufacture of power-driven hand tools
28170,Manufacture of office machinery and equipment
28162,Manufacture of other lifting and handling equipment and parts thereof
28161,"Manufacture of lifts, escalators and moving walkways"
28160,Manufacture of lifting and handling equipment
28150,"Manufacture of ovens, furnaces and furnace burners"
28140,"Manufacture of bearings, gears, gearing and driving elements"
28132,"Manufacture of other pumps, compressors, taps and valves etc."
28131,Manufacture of hand pumps
28130,"Manufacture of other pumps, compressors, taps and valves"
28120,Manufacture of fluid power equipment
28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
27900,Manufacture of other electrical equipment
